
==================================================
========== FP-Tree 算法完整结果 ==========

Level 0 (频繁1项集):
总计: 2117 个频繁1项集
  [0]: 支持计数=177
  [41, 1004]: 支持计数=198
  [41, 1027]: 支持计数=92
  [41, 1043]: 支持计数=107
  [41, 1062]: 支持计数=91
  [41, 1067]: 支持计数=145
  [41, 1113]: 支持计数=102
  [41, 1121]: 支持计数=138
  [41, 1126]: 支持计数=99
  [41, 1135]: 支持计数=154
  [41, 1144]: 支持计数=116
  [41, 1146]: 支持计数=501
  [41, 1198]: 支持计数=214
  [41, 1239]: 支持计数=122
  [41, 1277]: 支持计数=91
  [41, 1327]: 支持计数=459
  [41, 1344]: 支持计数=258
  [41, 1355]: 支持计数=138
  [41, 1393]: 支持计数=215
  [41, 1417]: 支持计数=109
  [41, 1425]: 支持计数=92
  [41, 1435]: 支持计数=143
  [41, 1479]: 支持计数=90
  [41, 1486]: 支持计数=111
  [41, 1513]: 支持计数=90
  [41, 1529]: 支持计数=96
  [41, 1543]: 支持计数=110
  [41, 1557]: 支持计数=112
  [41, 1578]: 支持计数=170
  [41, 1585]: 支持计数=107
  [41, 1593]: 支持计数=91
  [41, 1600]: 支持计数=197
  [41, 1619]: 支持计数=96
  [41, 1659]: 支持计数=129
  [41, 1677]: 支持计数=103
  [41, 1693]: 支持计数=91
  [41, 1698]: 支持计数=96
  [41, 1704]: 支持计数=98
  [41, 1714]: 支持计数=121
  [41, 1715]: 支持计数=186
  [41, 1783]: 支持计数=150
  [41, 1814]: 支持计数=152
  [41, 1859]: 支持计数=156
  [41, 1872]: 支持计数=162
  [41, 1956]: 支持计数=93
  [41, 1986]: 支持计数=148
  [41, 1987]: 支持计数=122
  [41, 2046]: 支持计数=128
  [41, 2056]: 支持计数=101
  [41, 2080]: 支持计数=99
  [41, 2118]: 支持计数=110
  [41, 2135]: 支持计数=114
  [41, 2168]: 支持计数=153
  [41, 2184]: 支持计数=144
  [41, 2187]: 支持计数=98
  [41, 2199]: 支持计数=147
  [41, 2208]: 支持计数=118
  [41, 2238]: 支持计数=570
  [41, 2254]: 支持计数=107
  [41, 2284]: 支持计数=118
  [41, 2325]: 支持计数=98
  [41, 2329]: 支持计数=102
  [41, 2383]: 支持计数=120
  [41, 2425]: 支持计数=89
  [41, 2437]: 支持计数=154
  [41, 2440]: 支持计数=96
  [41, 2505]: 支持计数=95
  [41, 2523]: 支持计数=90
  [41, 2552]: 支持计数=105
  [41, 2633]: 支持计数=91
  [41, 2673]: 支持计数=119
  [41, 2775]: 支持计数=89
  [41, 2792]: 支持计数=97
  [41, 2879]: 支持计数=95
  [41, 2958]: 支持计数=217
  [41, 3270]: 支持计数=214
  [41, 3361]: 支持计数=101
  [41, 3510]: 支持计数=91
  [41, 3616]: 支持计数=204
  [41, 3904]: 支持计数=124
  [41, 4336]: 支持计数=134
  [41, 4698]: 支持计数=99
  [41, 4883]: 支持计数=97
  [41, 5728]: 支持计数=93
  [41, 5729]: 支持计数=118
  [41, 8691]: 支持计数=96
  [41, 8978]: 支持计数=290
  [41, 10444]: 支持计数=115
  [41, 10446]: 支持计数=133
  [41, 10490]: 支持计数=101
  [41, 10515]: 支持计数=172
  [41, 10653]: 支持计数=95
  [41, 12925]: 支持计数=154
  [41, 12929]: 支持计数=124
  [41, 13041]: 支持计数=390
  [41, 14098]: 支持计数=170
  [41, 14933]: 支持计数=116
  [41, 15578]: 支持计数=107
  [41, 15618]: 支持计数=179
  [41, 15832]: 支持计数=421
  [41, 16010]: 支持计数=467
  [41, 16011]: 支持计数=244
  [41, 16217]: 支持计数=433
  [41, 16430]: 支持计数=121
  [41, 16431]: 支持计数=105
  [43, 48]: 支持计数=125
  [44, 48]: 支持计数=115
  [45, 48]: 支持计数=492
  [47, 48]: 支持计数=274
  [48, 49]: 支持计数=843
  [48, 50]: 支持计数=128
  [48, 51]: 支持计数=134
  [48, 52]: 支持计数=326
  [48, 53]: 支持计数=322
  [48, 55]: 支持计数=325
  [48, 56]: 支持计数=309
  [48, 58]: 支持计数=89
  [48, 59]: 支持计数=117
  [48, 60]: 支持计数=815
  [48, 61]: 支持计数=97
  [48, 62]: 支持计数=314
  [48, 64]: 支持计数=124
  [48, 65]: 支持计数=2529
  [48, 66]: 支持计数=168
  [48, 67]: 支持计数=112
  [48, 68]: 支持计数=127
  [48, 69]: 支持计数=156
  [48, 75]: 支持计数=209
  [48, 76]: 支持计数=485
  [48, 77]: 支持计数=162
  [48, 78]: 支持计数=824
  [48, 79]: 支持计数=893
  [48, 80]: 支持计数=271
  [48, 82]: 支持计数=177
  [48, 83]: 支持计数=103
  [48, 85]: 支持计数=127
  [48, 88]: 支持计数=98
  [48, 89]: 支持计数=2798
  [48, 91]: 支持计数=97
  [48, 94]: 支持计数=293
  [48, 95]: 支持计数=162
  [48, 96]: 支持计数=191
  [48, 98]: 支持计数=122
  [48, 101]: 支持计数=1311
  [48, 102]: 支持计数=93
  [48, 103]: 支持计数=431
  [48, 104]: 支持计数=133
  [48, 105]: 支持计数=372
  [48, 107]: 支持计数=467
  [48, 108]: 支持计数=139
  [48, 110]: 支持计数=1380
  [48, 116]: 支持计数=154
  [48, 117]: 支持计数=601
  [48, 123]: 支持计数=797
  [48, 127]: 支持计数=116
  [48, 128]: 支持计数=170
  [48, 129]: 支持计数=105
  [48, 133]: 支持计数=158
  [48, 136]: 支持计数=286
  [48, 141]: 支持计数=131
  [48, 147]: 支持计数=1036
  [48, 150]: 支持计数=353
  [48, 151]: 支持计数=130
  [48, 152]: 支持计数=97
  [48, 155]: 支持计数=314
  [48, 156]: 支持计数=473
  [48, 161]: 支持计数=517
  [48, 164]: 支持计数=224
  [48, 165]: 支持计数=195
  [48, 166]: 支持计数=183
  [48, 167]: 支持计数=164
  [48, 168]: 支持计数=189
  [48, 169]: 支持计数=159
  [48, 170]: 支持计数=1557
  [48, 171]: 支持计数=140
  [48, 175]: 支持计数=493
  [48, 176]: 支持计数=226
  [48, 178]: 支持计数=246
  [48, 179]: 支持计数=624
  [48, 184]: 支持计数=101
  [48, 185]: 支持计数=816
  [48, 186]: 支持计数=417
  [48, 189]: 支持计数=132
  [48, 192]: 支持计数=106
  [48, 193]: 支持计数=127
  [48, 195]: 支持计数=178
  [48, 197]: 支持计数=102
  [48, 199]: 支持计数=125
  [48, 200]: 支持计数=139
  [48, 201]: 支持计数=674
  [48, 203]: 支持计数=204
  [48, 204]: 支持计数=190
  [48, 205]: 支持计数=152
  [48, 206]: 支持计数=153
  [48, 207]: 支持计数=100
  [48, 208]: 支持计数=330
  [48, 209]: 支持计数=312
  [48, 211]: 支持计数=109
  [48, 213]: 支持计数=160
  [48, 215]: 支持计数=206
  [48, 220]: 支持计数=138
  [48, 222]: 支持计数=143
  [48, 225]: 支持计数=1736
  [48, 227]: 支持计数=102
  [48, 228]: 支持计数=116
  [48, 229]: 支持计数=545
  [48, 232]: 支持计数=207
  [48, 234]: 支持计数=138
  [48, 235]: 支持计数=184
  [48, 237]: 支持计数=1682
  [48, 242]: 支持计数=399
  [48, 243]: 支持计数=119
  [48, 244]: 支持计数=147
  [48, 246]: 支持计数=265
  [48, 248]: 支持计数=285
  [48, 249]: 支持计数=675
  [48, 250]: 支持计数=178
  [48, 251]: 支持计数=338
  [48, 255]: 支持计数=1057
  [48, 256]: 支持计数=134
  [48, 258]: 支持计数=643
  [48, 259]: 支持计数=380
  [48, 260]: 支持计数=379
  [48, 261]: 支持计数=330
  [48, 262]: 支持计数=186
  [48, 264]: 支持计数=534
  [48, 265]: 支持计数=94
  [48, 267]: 支持计数=368
  [48, 269]: 支持计数=439
  [48, 270]: 支持计数=957
  [48, 271]: 支持计数=1090
  [48, 272]: 支持计数=380
  [48, 278]: 支持计数=174
  [48, 279]: 支持计数=383
  [48, 281]: 支持计数=269
  [48, 282]: 支持计数=162
  [48, 285]: 支持计数=185
  [48, 286]: 支持计数=591
  [48, 288]: 支持计数=89
  [48, 289]: 支持计数=120
  [48, 297]: 支持计数=328
  [48, 301]: 支持计数=658
  [48, 308]: 支持计数=149
  [48, 309]: 支持计数=161
  [48, 310]: 支持计数=1692
  [48, 314]: 支持计数=103
  [48, 319]: 支持计数=261
  [48, 320]: 支持计数=195
  [48, 325]: 支持计数=103
  [48, 331]: 支持计数=116
  [48, 334]: 支持计数=443
  [48, 337]: 支持计数=132
  [48, 338]: 支持计数=779
  [48, 340]: 支持计数=407
  [48, 341]: 支持计数=235
  [48, 342]: 支持计数=193
  [48, 344]: 支持计数=161
  [48, 345]: 支持计数=316
  [48, 346]: 支持计数=216
  [48, 347]: 支持计数=177
  [48, 350]: 支持计数=128
  [48, 351]: 支持计数=221
  [48, 352]: 支持计数=246
  [48, 357]: 支持计数=97
  [48, 364]: 支持计数=98
  [48, 365]: 支持计数=259
  [48, 370]: 支持计数=196
  [48, 371]: 支持计数=369
  [48, 374]: 支持计数=340
  [48, 379]: 支持计数=348
  [48, 382]: 支持计数=116
  [48, 384]: 支持计数=247
  [48, 388]: 支持计数=143
  [48, 389]: 支持计数=422
  [48, 390]: 支持计数=210
  [48, 392]: 支持计数=141
  [48, 396]: 支持计数=378
  [48, 397]: 支持计数=210
  [48, 398]: 支持计数=320
  [48, 399]: 支持计数=154
  [48, 402]: 支持计数=115
  [48, 405]: 支持计数=525
  [48, 406]: 支持计数=135
  [48, 407]: 支持计数=422
  [48, 408]: 支持计数=279
  [48, 412]: 支持计数=181
  [48, 413]: 支持计数=1135
  [48, 414]: 支持计数=144
  [48, 415]: 支持计数=255
  [48, 418]: 支持计数=267
  [48, 420]: 支持计数=311
  [48, 421]: 支持计数=112
  [48, 422]: 支持计数=104
  [48, 423]: 支持计数=162
  [48, 424]: 支持计数=218
  [48, 425]: 支持计数=408
  [48, 426]: 支持计数=327
  [48, 432]: 支持计数=251
  [48, 433]: 支持计数=173
  [48, 434]: 支持计数=120
  [48, 438]: 支持计数=1025
  [48, 440]: 支持计数=143
  [48, 441]: 支持计数=341
  [48, 442]: 支持计数=124
  [48, 444]: 支持计数=114
  [48, 445]: 支持计数=121
  [48, 447]: 支持计数=140
  [48, 449]: 支持计数=382
  [48, 458]: 支持计数=98
  [48, 460]: 支持计数=106
  [48, 464]: 支持计数=422
  [48, 467]: 支持计数=106
  [48, 475]: 支持计数=1428
  [48, 479]: 支持计数=513
  [48, 485]: 支持计数=105
  [48, 486]: 支持计数=137
  [48, 488]: 支持计数=432
  [48, 489]: 支持计数=165
  [48, 490]: 支持计数=279
  [48, 491]: 支持计数=182
  [48, 492]: 支持计数=148
  [48, 493]: 支持计数=139
  [48, 497]: 支持计数=176
  [48, 500]: 支持计数=116
  [48, 501]: 支持计数=124
  [48, 504]: 支持计数=113
  [48, 511]: 支持计数=135
  [48, 514]: 支持计数=293
  [48, 522]: 支持计数=582
  [48, 525]: 支持计数=121
  [48, 529]: 支持计数=150
  [48, 533]: 支持计数=861
  [48, 534]: 支持计数=203
  [48, 535]: 支持计数=409
  [48, 536]: 支持计数=164
  [48, 541]: 支持计数=96
  [48, 543]: 支持计数=172
  [48, 544]: 支持计数=504
  [48, 547]: 支持计数=252
  [48, 548]: 支持计数=658
  [48, 549]: 支持计数=513
  [48, 550]: 支持计数=146
  [48, 552]: 支持计数=174
  [48, 555]: 支持计数=114
  [48, 558]: 支持计数=139
  [48, 560]: 支持计数=117
  [48, 563]: 支持计数=155
  [48, 565]: 支持计数=149
  [48, 566]: 支持计数=122
  [48, 570]: 支持计数=514
  [48, 571]: 支持计数=318
  [48, 572]: 支持计数=108
  [48, 573]: 支持计数=135
  [48, 576]: 支持计数=161
  [48, 581]: 支持计数=353
  [48, 583]: 支持计数=135
  [48, 584]: 支持计数=104
  [48, 587]: 支持计数=163
  [48, 589]: 支持计数=628
  [48, 591]: 支持计数=280
  [48, 592]: 支持计数=743
  [48, 593]: 支持计数=107
  [48, 596]: 支持计数=116
  [48, 597]: 支持计数=159
  [48, 599]: 支持计数=123
  [48, 604]: 支持计数=687
  [48, 606]: 支持计数=117
  [48, 610]: 支持计数=196
  [48, 611]: 支持计数=161
  [48, 612]: 支持计数=135
  [48, 615]: 支持计数=170
  [48, 621]: 支持计数=110
  [48, 622]: 支持计数=191
  [48, 623]: 支持计数=310
  [48, 636]: 支持计数=112
  [48, 637]: 支持计数=91
  [48, 639]: 支持计数=124
  [48, 640]: 支持计数=232
  [48, 643]: 支持计数=212
  [48, 649]: 支持计数=490
  [48, 650]: 支持计数=137
  [48, 651]: 支持计数=129
  [48, 652]: 支持计数=187
  [48, 653]: 支持计数=195
  [48, 660]: 支持计数=126
  [48, 662]: 支持计数=161
  [48, 664]: 支持计数=387
  [48, 673]: 支持计数=132
  [48, 675]: 支持计数=374
  [48, 677]: 支持计数=666
  [48, 681]: 支持计数=378
  [48, 682]: 支持计数=191
  [48, 683]: 支持计数=103
  [48, 684]: 支持计数=177
  [48, 694]: 支持计数=215
  [48, 695]: 支持计数=90
  [48, 696]: 支持计数=96
  [48, 697]: 支持计数=165
  [48, 698]: 支持计数=117
  [48, 703]: 支持计数=467
  [48, 704]: 支持计数=307
  [48, 706]: 支持计数=116
  [48, 708]: 支持计数=145
  [48, 711]: 支持计数=124
  [48, 712]: 支持计数=94
  [48, 713]: 支持计数=129
  [48, 715]: 支持计数=254
  [48, 718]: 支持计数=170
  [48, 727]: 支持计数=253
  [48, 730]: 支持计数=215
  [48, 731]: 支持计数=111
  [48, 734]: 支持计数=329
  [48, 739]: 支持计数=113
  [48, 740]: 支持计数=520
  [48, 749]: 支持计数=125
  [48, 751]: 支持计数=202
  [48, 753]: 支持计数=158
  [48, 755]: 支持计数=130
  [48, 757]: 支持计数=155
  [48, 759]: 支持计数=138
  [48, 760]: 支持计数=149
  [48, 763]: 支持计数=113
  [48, 764]: 支持计数=153
  [48, 766]: 支持计数=489
  [48, 767]: 支持计数=164
  [48, 768]: 支持计数=157
  [48, 769]: 支持计数=103
  [48, 770]: 支持计数=111
  [48, 772]: 支持计数=442
  [48, 781]: 支持计数=100
  [48, 783]: 支持计数=583
  [48, 785]: 支持计数=189
  [48, 789]: 支持计数=421
  [48, 790]: 支持计数=315
  [48, 791]: 支持计数=93
  [48, 793]: 支持计数=304
  [48, 795]: 支持计数=158
  [48, 798]: 支持计数=329
  [48, 801]: 支持计数=97
  [48, 805]: 支持计数=171
  [48, 806]: 支持计数=396
  [48, 807]: 支持计数=114
  [48, 808]: 支持计数=267
  [48, 809]: 支持计数=373
  [48, 812]: 支持计数=463
  [48, 813]: 支持计数=100
  [48, 817]: 支持计数=210
  [48, 824]: 支持计数=701
  [48, 826]: 支持计数=100
  [48, 828]: 支持计数=131
  [48, 829]: 支持计数=200
  [48, 830]: 支持计数=294
  [48, 831]: 支持计数=311
  [48, 837]: 支持计数=151
  [48, 840]: 支持计数=206
  [48, 842]: 支持计数=201
  [48, 846]: 支持计数=297
  [48, 848]: 支持计数=111
  [48, 849]: 支持计数=134
  [48, 851]: 支持计数=137
  [48, 855]: 支持计数=306
  [48, 856]: 支持计数=271
  [48, 861]: 支持计数=110
  [48, 865]: 支持计数=390
  [48, 874]: 支持计数=97
  [48, 877]: 支持计数=106
  [48, 878]: 支持计数=310
  [48, 880]: 支持计数=132
  [48, 885]: 支持计数=307
  [48, 887]: 支持计数=164
  [48, 892]: 支持计数=93
  [48, 896]: 支持计数=137
  [48, 903]: 支持计数=192
  [48, 905]: 支持计数=93
  [48, 907]: 支持计数=152
  [48, 910]: 支持计数=313
  [48, 911]: 支持计数=150
  [48, 913]: 支持计数=320
  [48, 916]: 支持计数=311
  [48, 921]: 支持计数=183
  [48, 924]: 支持计数=164
  [48, 925]: 支持计数=156
  [48, 926]: 支持计数=142
  [48, 927]: 支持计数=180
  [48, 932]: 支持计数=140
  [48, 938]: 支持计数=168
  [48, 939]: 支持计数=140
  [48, 941]: 支持计数=92
  [48, 942]: 支持计数=101
  [48, 947]: 支持计数=324
  [48, 956]: 支持计数=540
  [48, 959]: 支持计数=92
  [48, 961]: 支持计数=327
  [48, 963]: 支持计数=89
  [48, 966]: 支持计数=113
  [48, 968]: 支持计数=117
  [48, 973]: 支持计数=113
  [48, 974]: 支持计数=113
  [48, 976]: 支持计数=456
  [48, 978]: 支持计数=203
  [48, 979]: 支持计数=266
  [48, 984]: 支持计数=205
  [48, 987]: 支持计数=153
  [48, 989]: 支持计数=189
  [48, 991]: 支持计数=93
  [48, 993]: 支持计数=201
  [48, 1000]: 支持计数=221
  [48, 1001]: 支持计数=183
  [48, 1003]: 支持计数=250
  [48, 1004]: 支持计数=614
  [48, 1010]: 支持计数=165
  [48, 1012]: 支持计数=147
  [48, 1013]: 支持计数=150
  [48, 1014]: 支持计数=162
  [48, 1016]: 支持计数=140
  [48, 1020]: 支持计数=274
  [48, 1023]: 支持计数=121
  [48, 1025]: 支持计数=109
  [48, 1026]: 支持计数=139
  [48, 1027]: 支持计数=228
  [48, 1034]: 支持计数=109
  [48, 1035]: 支持计数=95
  [48, 1043]: 支持计数=306
  [48, 1046]: 支持计数=190
  [48, 1052]: 支持计数=266
  [48, 1053]: 支持计数=96
  [48, 1055]: 支持计数=107
  [48, 1060]: 支持计数=147
  [48, 1062]: 支持计数=232
  [48, 1063]: 支持计数=116
  [48, 1066]: 支持计数=250
  [48, 1067]: 支持计数=369
  [48, 1071]: 支持计数=147
  [48, 1072]: 支持计数=136
  [48, 1080]: 支持计数=167
  [48, 1081]: 支持计数=200
  [48, 1082]: 支持计数=212
  [48, 1085]: 支持计数=117
  [48, 1094]: 支持计数=93
  [48, 1096]: 支持计数=154
  [48, 1103]: 支持计数=250
  [48, 1104]: 支持计数=149
  [48, 1105]: 支持计数=101
  [48, 1113]: 支持计数=248
  [48, 1115]: 支持计数=114
  [48, 1120]: 支持计数=98
  [48, 1121]: 支持计数=250
  [48, 1123]: 支持计数=110
  [48, 1124]: 支持计数=89
  [48, 1126]: 支持计数=246
  [48, 1130]: 支持计数=104
  [48, 1135]: 支持计数=541
  [48, 1143]: 支持计数=123
  [48, 1144]: 支持计数=336
  [48, 1146]: 支持计数=811
  [48, 1158]: 支持计数=232
  [48, 1159]: 支持计数=116
  [48, 1160]: 支持计数=157
  [48, 1161]: 支持计数=118
  [48, 1163]: 支持计数=177
  [48, 1166]: 支持计数=118
  [48, 1172]: 支持计数=184
  [48, 1180]: 支持计数=109
  [48, 1183]: 支持计数=179
  [48, 1184]: 支持计数=116
  [48, 1185]: 支持计数=195
  [48, 1188]: 支持计数=134
  [48, 1192]: 支持计数=105
  [48, 1196]: 支持计数=185
  [48, 1198]: 支持计数=376
  [48, 1209]: 支持计数=201
  [48, 1214]: 支持计数=195
  [48, 1215]: 支持计数=111
  [48, 1227]: 支持计数=89
  [48, 1232]: 支持计数=179
  [48, 1233]: 支持计数=112
  [48, 1239]: 支持计数=346
  [48, 1249]: 支持计数=155
  [48, 1257]: 支持计数=248
  [48, 1269]: 支持计数=161
  [48, 1275]: 支持计数=130
  [48, 1277]: 支持计数=248
  [48, 1280]: 支持计数=165
  [48, 1281]: 支持计数=161
  [48, 1282]: 支持计数=173
  [48, 1286]: 支持计数=107
  [48, 1290]: 支持计数=111
  [48, 1291]: 支持计数=160
  [48, 1294]: 支持计数=166
  [48, 1297]: 支持计数=98
  [48, 1308]: 支持计数=191
  [48, 1309]: 支持计数=97
  [48, 1311]: 支持计数=103
  [48, 1313]: 支持计数=250
  [48, 1315]: 支持计数=118
  [48, 1316]: 支持计数=97
  [48, 1318]: 支持计数=143
  [48, 1327]: 支持计数=968
  [48, 1332]: 支持计数=146
  [48, 1333]: 支持计数=171
  [48, 1342]: 支持计数=124
  [48, 1343]: 支持计数=114
  [48, 1344]: 支持计数=427
  [48, 1345]: 支持计数=134
  [48, 1354]: 支持计数=90
  [48, 1355]: 支持计数=260
  [48, 1360]: 支持计数=194
  [48, 1361]: 支持计数=215
  [48, 1372]: 支持计数=147
  [48, 1378]: 支持计数=147
  [48, 1379]: 支持计数=156
  [48, 1380]: 支持计数=124
  [48, 1387]: 支持计数=126
  [48, 1390]: 支持计数=110
  [48, 1393]: 支持计数=669
  [48, 1395]: 支持计数=138
  [48, 1396]: 支持计数=97
  [48, 1404]: 支持计数=277
  [48, 1408]: 支持计数=109
  [48, 1417]: 支持计数=315
  [48, 1425]: 支持计数=172
  [48, 1428]: 支持计数=107
  [48, 1430]: 支持计数=91
  [48, 1433]: 支持计数=102
  [48, 1435]: 支持计数=433
  [48, 1444]: 支持计数=208
  [48, 1459]: 支持计数=118
  [48, 1476]: 支持计数=119
  [48, 1479]: 支持计数=273
  [48, 1481]: 支持计数=236
  [48, 1486]: 支持计数=270
  [48, 1489]: 支持计数=155
  [48, 1497]: 支持计数=98
  [48, 1503]: 支持计数=105
  [48, 1513]: 支持计数=248
  [48, 1517]: 支持计数=125
  [48, 1527]: 支持计数=149
  [48, 1529]: 支持计数=139
  [48, 1537]: 支持计数=110
  [48, 1538]: 支持计数=138
  [48, 1543]: 支持计数=240
  [48, 1557]: 支持计数=250
  [48, 1562]: 支持计数=206
  [48, 1564]: 支持计数=182
  [48, 1578]: 支持计数=469
  [48, 1585]: 支持计数=292
  [48, 1590]: 支持计数=124
  [48, 1591]: 支持计数=152
  [48, 1592]: 支持计数=120
  [48, 1593]: 支持计数=150
  [48, 1594]: 支持计数=131
  [48, 1595]: 支持计数=149
  [48, 1596]: 支持计数=93
  [48, 1598]: 支持计数=109
  [48, 1600]: 支持计数=444
  [48, 1602]: 支持计数=165
  [48, 1603]: 支持计数=109
  [48, 1609]: 支持计数=130
  [48, 1611]: 支持计数=94
  [48, 1612]: 支持计数=106
  [48, 1613]: 支持计数=91
  [48, 1615]: 支持计数=100
  [48, 1616]: 支持计数=149
  [48, 1619]: 支持计数=236
  [48, 1624]: 支持计数=101
  [48, 1629]: 支持计数=165
  [48, 1638]: 支持计数=226
  [48, 1640]: 支持计数=111
  [48, 1642]: 支持计数=126
  [48, 1652]: 支持计数=131
  [48, 1655]: 支持计数=197
  [48, 1658]: 支持计数=89
  [48, 1659]: 支持计数=258
  [48, 1670]: 支持计数=102
  [48, 1677]: 支持计数=306
  [48, 1678]: 支持计数=145
  [48, 1679]: 支持计数=94
  [48, 1693]: 支持计数=316
  [48, 1696]: 支持计数=112
  [48, 1697]: 支持计数=111
  [48, 1698]: 支持计数=197
  [48, 1702]: 支持计数=90
  [48, 1704]: 支持计数=246
  [48, 1714]: 支持计数=282
  [48, 1715]: 支持计数=350
  [48, 1727]: 支持计数=96
  [48, 1736]: 支持计数=98
  [48, 1739]: 支持计数=119
  [48, 1741]: 支持计数=134
  [48, 1744]: 支持计数=128
  [48, 1763]: 支持计数=164
  [48, 1771]: 支持计数=96
  [48, 1772]: 支持计数=116
  [48, 1773]: 支持计数=111
  [48, 1776]: 支持计数=101
  [48, 1781]: 支持计数=104
  [48, 1783]: 支持计数=335
  [48, 1784]: 支持计数=150
  [48, 1786]: 支持计数=168
  [48, 1789]: 支持计数=141
  [48, 1791]: 支持计数=106
  [48, 1796]: 支持计数=102
  [48, 1804]: 支持计数=151
  [48, 1805]: 支持计数=114
  [48, 1808]: 支持计数=181
  [48, 1811]: 支持计数=114
  [48, 1814]: 支持计数=451
  [48, 1815]: 支持计数=135
  [48, 1818]: 支持计数=146
  [48, 1819]: 支持计数=156
  [48, 1821]: 支持计数=109
  [48, 1831]: 支持计数=120
  [48, 1837]: 支持计数=110
  [48, 1842]: 支持计数=176
  [48, 1854]: 支持计数=92
  [48, 1859]: 支持计数=210
  [48, 1867]: 支持计数=275
  [48, 1870]: 支持计数=90
  [48, 1872]: 支持计数=333
  [48, 1874]: 支持计数=97
  [48, 1877]: 支持计数=103
  [48, 1884]: 支持计数=92
  [48, 1897]: 支持计数=144
  [48, 1899]: 支持计数=151
  [48, 1903]: 支持计数=156
  [48, 1905]: 支持计数=126
  [48, 1922]: 支持计数=89
  [48, 1929]: 支持计数=93
  [48, 1930]: 支持计数=215
  [48, 1938]: 支持计数=130
  [48, 1939]: 支持计数=178
  [48, 1951]: 支持计数=96
  [48, 1956]: 支持计数=243
  [48, 1964]: 支持计数=143
  [48, 1966]: 支持计数=152
  [48, 1971]: 支持计数=108
  [48, 1972]: 支持计数=109
  [48, 1973]: 支持计数=236
  [48, 1976]: 支持计数=177
  [48, 1986]: 支持计数=346
  [48, 1987]: 支持计数=298
  [48, 1991]: 支持计数=120
  [48, 1994]: 支持计数=162
  [48, 1996]: 支持计数=149
  [48, 2002]: 支持计数=133
  [48, 2011]: 支持计数=141
  [48, 2012]: 支持计数=92
  [48, 2015]: 支持计数=259
  [48, 2026]: 支持计数=106
  [48, 2046]: 支持计数=305
  [48, 2049]: 支持计数=101
  [48, 2051]: 支持计数=300
  [48, 2052]: 支持计数=134
  [48, 2053]: 支持计数=176
  [48, 2054]: 支持计数=176
  [48, 2056]: 支持计数=258
  [48, 2058]: 支持计数=107
  [48, 2064]: 支持计数=96
  [48, 2065]: 支持计数=209
  [48, 2075]: 支持计数=181
  [48, 2079]: 支持计数=96
  [48, 2080]: 支持计数=285
  [48, 2084]: 支持计数=105
  [48, 2091]: 支持计数=187
  [48, 2097]: 支持计数=111
  [48, 2103]: 支持计数=153
  [48, 2113]: 支持计数=148
  [48, 2115]: 支持计数=237
  [48, 2117]: 支持计数=130
  [48, 2118]: 支持计数=341
  [48, 2122]: 支持计数=111
  [48, 2129]: 支持计数=105
  [48, 2135]: 支持计数=293
  [48, 2147]: 支持计数=138
  [48, 2150]: 支持计数=141
  [48, 2164]: 支持计数=186
  [48, 2167]: 支持计数=181
  [48, 2168]: 支持计数=265
  [48, 2177]: 支持计数=152
  [48, 2182]: 支持计数=94
  [48, 2184]: 支持计数=288
  [48, 2186]: 支持计数=128
  [48, 2187]: 支持计数=233
  [48, 2188]: 支持计数=143
  [48, 2191]: 支持计数=172
  [48, 2199]: 支持计数=383
  [48, 2201]: 支持计数=93
  [48, 2202]: 支持计数=100
  [48, 2208]: 支持计数=222
  [48, 2210]: 支持计数=108
  [48, 2212]: 支持计数=145
  [48, 2215]: 支持计数=195
  [48, 2225]: 支持计数=122
  [48, 2238]: 支持计数=955
  [48, 2239]: 支持计数=107
  [48, 2240]: 支持计数=117
  [48, 2241]: 支持计数=284
  [48, 2254]: 支持计数=198
  [48, 2259]: 支持计数=127
  [48, 2263]: 支持计数=114
  [48, 2269]: 支持计数=90
  [48, 2276]: 支持计数=139
  [48, 2284]: 支持计数=292
  [48, 2286]: 支持计数=130
  [48, 2325]: 支持计数=212
  [48, 2326]: 支持计数=90
  [48, 2329]: 支持计数=324
  [48, 2343]: 支持计数=239
  [48, 2344]: 支持计数=180
  [48, 2350]: 支持计数=159
  [48, 2351]: 支持计数=114
  [48, 2353]: 支持计数=215
  [48, 2363]: 支持计数=91
  [48, 2364]: 支持计数=179
  [48, 2370]: 支持计数=146
  [48, 2375]: 支持计数=187
  [48, 2378]: 支持计数=130
  [48, 2383]: 支持计数=356
  [48, 2388]: 支持计数=178
  [48, 2389]: 支持计数=136
  [48, 2393]: 支持计数=92
  [48, 2394]: 支持计数=158
  [48, 2399]: 支持计数=276
  [48, 2406]: 支持计数=121
  [48, 2408]: 支持计数=110
  [48, 2413]: 支持计数=129
  [48, 2417]: 支持计数=97
  [48, 2420]: 支持计数=145
  [48, 2424]: 支持计数=103
  [48, 2425]: 支持计数=160
  [48, 2437]: 支持计数=346
  [48, 2440]: 支持计数=185
  [48, 2441]: 支持计数=154
  [48, 2464]: 支持计数=184
  [48, 2468]: 支持计数=162
  [48, 2469]: 支持计数=124
  [48, 2471]: 支持计数=90
  [48, 2476]: 支持计数=109
  [48, 2480]: 支持计数=127
  [48, 2492]: 支持计数=238
  [48, 2493]: 支持计数=116
  [48, 2495]: 支持计数=202
  [48, 2505]: 支持计数=256
